Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards
1990,111,Tie Me Up! Tie Me Down!,Comedy,"Banderas	 Antonio","Abril	 Victoria","Almodóvar	 Pedro",68,No
1991,113,High Heels,Comedy,"Bosé	 Miguel","Abril	 Victoria","Almodóvar	 Pedro",68,No
1983,104,"Dead Zone	 The",Horror,"Walken	 Christopher","Adams	 Brooke","Cronenberg	 David",79,No
1979,122,Cuba,Action,"Connery	 Sean","Adams	 Brooke","Lester	 Richard",6,No
1978,94,Days of Heaven,Drama,"Gere	 Richard","Adams	 Brooke","Malick	 Terrence",14,No
1983,140,Octopussy,Action,"Moore	 Roger","Adams	 Maud","Glen	 John",68,No
1984,101,Target Eagle,Action,"Connors	 Chuck","Adams	 Maud","Loma	 José Antonio de la",14,No
1989,99,"American Angels: Baptism of Blood	 The",Drama,"Bergen	 Robert D.","Adams	 Trudy","Sebastian	 Beverly",28,No
1985,104,Subway,Drama,"Lambert	 Christopher","Adjani	 Isabelle","Besson	 Luc",6,No
1990,149,Camille Claudel,Drama,"Depardieu	 Gérard","Adjani	 Isabelle","Nuytten	 Bruno",32,No
1982,188,Fanny and Alexander,Drama,"Ahlstedt	 Börje","Adolphson	 Kristina","Bergman	 Ingmar",81,Yes
1982,117,Tragedy of a Ridiculous Man,Drama,"Tognazzi	 Ugo","Aimee	 Anouk","Bertolucci	 Bernardo",17,No
1966,103,A Man & a Woman,Drama,"Trintignant	 Jean-Louis","Aimee	 Anouk","Lelouch	 Claude",46,Yes
1986,112,A Man & a Woman: Twenty Years Later,Drama,"Trintignant	 Jean-Louis","Aimee	 Anouk","Lelouch	 Claude",49,No
1966,103,Un Hombre y una Mujer,Drama,"Trintignant	 Jean-Louis","Aimee	 Anouk","Lelouch	 Claude",6,Yes
1985,112,"Official Story	 The",Drama,"Alterio	 Hector","Aleandro	 Norma","Puenzo	 Luiz",39,Yes
1976,150,"Lindbergh Kidnapping Case	 The",Drama,"Hopkins	 Anthony","Alexander	 Denise","Kulik	 Buzz",51,No
1929,84,Blackmail,Mystery,"Longden	 John","Algood	 Sara","Hitchcock	 Alfred",2,No
1963,109,Donovan's Reef,Comedy,"Wayne	 John","Allen	 Elizabeth","Ford	 John",62,No
1988,110,Tucker: The Man & His Dream,Drama,"Bridges	 Jeff","Allen	 Joan","Coppola	 Francis Ford",68,No
1988,101,Scrooged,Comedy,"Murray	 Bill","Allen	 Karen","Donner	 Richard",15,No
1981,116,Raiders of the Lost Ark,Action,"Ford	 Harrison","Allen	 Karen","Spielberg	 Steven",8,No
1987,101,"Running Man	 The",Science Fiction,"Schwarzenegger	 Arnold","Alonso	 Maria Conchita","Glaser	 Paul Michael",31,No
1991,105,Predator 2,Action,"Glover	 Danny","Alonso	 Maria Conchita","Hopkins	 Stephen",79,No
1988,127,Colors,Drama,"Penn	 Sean","Alonso	 Maria Conchita","Hopper	 Dennis",23,No
1990,97,Zandalee,Drama,"Cage	 Nicolas","Anderson	 Erika","Pillsbury	 Sam",80,No
1988,108,Miles from Home,Drama,"Anderson	 Kevin","Anderson	 Jo","Sinise	 Gary",53,No
1989,88,Final Notice,Mystery,"Gerard	 Gil","Anderson	 Melody","Stern	 Steven Hilliard",88,No
1979,110,Quintet,Drama,"Newman	 Paul","Andersson	 Bibi","Altman	 Robert",19,No
1960,90,"Devil's Eye	 The",Drama,"Kulle	 Jarl","Andersson	 Bibi","Bergman	 Ingmar",20,No
1957,91,Wild Strawberries,Drama,"Sjöström	 Victor","Andersson	 Bibi","Bergman	 Ingmar",42,Yes
1956,96,"Seventh Seal	 The",Drama,"Sydow	 Max von","Andersson	 Bibi","Bergman	 Ingmar",62,No
1955,86,Dreams,Drama,"Björnstrand	 Gunnar","Andersson	 Harriet","Bergman	 Ingmar",14,No
1955,95,"Naked Night	 The",Drama,"Björnstrand	 Gunnar","Andersson	 Harriet","Bergman	 Ingmar",38,No
1962,91,Through a Glass Darkly,Drama,"Björnstrand	 Gunnar","Andersson	 Harriet","Bergman	 Ingmar",64,Yes
1972,91,Cries & Whispers,Drama,"Josephson	 Erland","Andersson	 Harriet","Bergman	 Ingmar",18,Yes
1958,104,"Barbarian & the Geisha	 The",Action,"Wayne	 John","Ando	 Eiko","Huston	 John",52,No
1967,130,Casino Royale,Comedy,"Niven	 David","Andress	 Ursula","Hughes	 Ken",11,No
1979,121,Ten,Comedy,"Moore	 Dudley","Andrews	 Julie","Edwards	 Blake",60,No
1983,118,"Man Who Loved Women	 The",Comedy,"Reynolds	 Burt","Andrews	 Julie","Edwards	 Blake",67,No
1966,190,Hawaii,Drama,"Sydow	 Max von","Andrews	 Julie","Hill	 George Roy",8,No
1966,125,Torn Curtain,Mystery,"Newman	 Paul","Andrews	 Julie","Hitchcock	 Alfred",35,No
1986,107,Duet for One,Drama,"Bates	 Alan","Andrews	 Julie","Konchalovsky	 Andrei",82,No
1965,172,"Sound of Music	 The",Music,"Plummer	 Christopher","Andrews	 Julie","Wise	 Robert",59,Yes
1984,140,Tartuffe,Comedy,"Depardieu	 Gérard","Annen	 Paule","Depardieu	 Gérard",67,No
1988,104,A New Life,Comedy,"Alda	 Alan",Ann-Margret,"Alda	 Alan",53,No
1978,106,Magic,Mystery,"Hopkins	 Anthony",Ann-Margret,"Attenborough	 Richard",85,No
1992,286,Tommy,Music,"Daltry	 Roger",Ann-Margret,"Russell	 Ken",5,No
1978,108,"Big Fix	 The",Mystery,"Dreyfuss	 Richard","Anspach	 Susan","Kagan	 Jeremy Paul",19,No
1992,95,Alan & Naomi,Drama,"Haas	 Lukas","Aquino	 Vanessa","Vanwagenen	 Sterling",3,No
1987,120,Fatal Attraction,Mystery,"Douglas	 Michael","Archer	 Anne","Lyne	 Adrian",61,No
1992,117,Patriot Games,Action,"Ford	 Harrison","Archer	 Anne","Noyce	 Phillip",28,No
1981,106,"Woman Next Door	 The",Drama,"Depardieu	 Gérard","Ardant	 Fanny","Truffaut	 François",82,No
1992,97,Hunting,Mystery,"Savage	 John","Armstrong	 Kerry","Howson	 Frank",68,No
1924,110,"Siegfried	 The Nibelungenlied",Drama,"Richter	 Paul","Arnold	 Gertrud","Lang	 Fritz",79,No
1988,118,"Big Blue	 The",Drama,"Barr	 Jean-Marc","Arquette	 Rosanna","Besson	 Luc",7,No
1991,115,Flight of the Intruder,Drama,"Glover	 Danny","Arquette	 Rosanna","Milius	 John",51,No
1986,108,Nobody's Fool,Comedy,"Roberts	 Eric","Arquette	 Rosanna","Purcell	 Evelyn",52,No
1985,97,After Hours,Comedy,"Dunne	 Griffin","Arquette	 Rosanna","Scorsese	 Martin",81,No
1985,104,Desperately Seeking Susan,Comedy,"Quinn	 Aidan","Arquette	 Rosanna","Seidelman	 Susan",41,No
1971,102,A New Leaf,Comedy,"Matthau	 Walter","Arrick	 Rose","May	 Elaine",83,No
1959,91,Killers of Kilimanjaro,Action,"Taylor	 Robert","Aslan	 Gregoire","Thorpe	 Richard",11,No
1926,126,Don Juan,Action,"Barrymore	 John","Astor	 Mary","Crosland	 Alan",55,No
1987,102,Babette's Feast,Drama,"LaFont	 Jean-Philippe","Audran	 Stéphane","Axel	 Gabriel",79,Yes
1988,141,Thunderball,Action,"Connery	 Sean","Auger	 Claudine","Young	 Terrence",8,No
